Interval [sec];Transfer [GBytes];Bandwidth [Mbits/sec]
0.0-1.0;12.6;106
1.0-2.0;11.9;99.6
2.0-3.0;13.6;114
3.0-4.0;11.0;92.3
4.0-5.0;13.9;116
5.0-6.0;11.2;94.4
6.0-7.0;13.0;109
7.0-8.0;11.2;94.4
8.0-9.0;12.2;103
9.0-10.0;11.9;99.6
10.0-11.0;7.88;66.1
11.0-12.0;11.9;99.6
12.0-13.0;11.8;98.6
13.0-14.0;11.8;98.6
14.0-15.0;11.9;99.6
15.0-16.0;11.9;99.6
16.0-17.0;7.75;65.0
17.0-18.0;11.9;99.6
18.0-19.0;11.9;99.6
19.0-20.0;12.0;101
20.0-21.0;11.9;99.6
21.0-22.0;12.0;101
22.0-23.0;7.88;66.1
23.0-24.0;12.0;101
24.0-25.0;11.9;99.6
25.0-26.0;11.9;99.6
26.0-27.0;11.8;98.6
27.0-28.0;7.88;66.1
28.0-29.0;11.9;99.6
29.0-30.0;13.6;114
30.0-31.0;7.88;66.1
31.0-32.0;11.8;98.6
32.0-33.0;11.9;99.6
33.0-34.0;11.9;99.6
34.0-35.0;11.8;98.6
35.0-36.0;11.8;98.6
36.0-37.0;8.38;70.3
37.0-38.0;11.8;98.6
38.0-39.0;11.9;99.6
39.0-40.0;11.8;98.6
40.0-41.0;11.9;99.6
41.0-42.0;11.6;97.5
42.0-43.0;8.25;69.2
43.0-44.0;11.9;99.6
44.0-45.0;11.9;99.6
45.0-46.0;12.0;101
46.0-47.0;11.9;99.6
47.0-48.0;8.00;67.1
48.0-49.0;11.8;98.6
49.0-50.0;11.8;98.6
