Interval [sec];Transfer [GBytes];Bandwidth [Mbits/sec]
0.0-1.0;12.1;102
1.0-2.0;11.5;96.5
2.0-3.0;11.2;94.4
3.0-4.0;11.6;97.5
4.0-5.0;11.4;95.4
5.0-6.0;11.1;93.3
6.0-7.0;11.6;97.5
7.0-8.0;11.9;99.6
8.0-9.0;11.1;93.3
9.0-10.0;11.4;95.4
