Interval [sec];Transfer [GBytes];Bandwidth [Mbits/sec]
0.0-1.0;12.9;108
1.0-2.0;13.0;109
2.0-3.0;13.5;113
3.0-4.0;10.6;89.1
4.0-5.0;10.6;89.1
5.0-6.0;10.8;90.2
6.0-7.0;13.4;112
7.0-8.0;11.1;93.3
8.0-9.0;10.8;90.2
9.0-10.0;10.6;89.1
