Interval [sec];Transfer [GBytes];Bandwidth [Mbits/sec]
0.0-1.0;12.6;106
1.0-2.0;12.4;104
2.0-3.0;12.0;101
3.0-4.0;12.2;103
4.0-5.0;13.6;114
5.0-6.0;10.9;91.2
6.0-7.0;12.8;107
7.0-8.0;10.9;91.2
8.0-9.0;11.9;99.6
9.0-10.0;11.9;99.6
