Interval [sec];Transfer [GBytes];Bandwidth [Mbits/sec]
0.0-1.0;12.2;103
1.0-2.0;12.2;103
2.0-3.0;11.9;99.6
3.0-4.0;13.6;114
4.0-5.0;10.8;90.2
5.0-6.0;13.1;110
6.0-7.0;12.4;104
7.0-8.0;10.6;89.1
8.0-9.0;11.9;99.6
9.0-10.0;11.9;99.6
