Interval [sec];Transfer [GBytes];Bandwidth [Mbits/sec]
0.0-1.0;12.9;108
1.0-2.0;12.1;102
2.0-3.0;12.4;104
3.0-4.0;12.8;107
4.0-5.0;13.8;115
5.0-6.0;10.0;83.9
6.0-7.0;13.1;110
7.0-8.0;9.88;82.8
8.0-9.0;9.88;82.8
9.0-10.0;11.0;92.3
