Interval [sec];Transfer [GBytes];Bandwidth [Mbits/sec]
0.0-1.0;12.8;107
1.0-2.0;12.2;103
2.0-3.0;12.4;104
3.0-4.0;12.8;107
4.0-5.0;13.8;115
5.0-6.0;9.75;81.8
6.0-7.0;13.5;113
7.0-8.0;10.0;83.9
8.0-9.0;10.1;84.9
9.0-10.0;13.4;112
