Interval [sec];Transfer [GBytes];Bandwidth [Mbits/sec]
0.0-1.0;12.5;105
1.0-2.0;11.8;98.6
2.0-3.0;12.5;105
3.0-4.0;12.1;102
4.0-5.0;11.5;96.5
5.0-6.0;11.9;99.6
6.0-7.0;11.5;96.5
7.0-8.0;13.2;111
8.0-9.0;11.9;99.6
9.0-10.0;13.4;112
