Interval [sec];Transfer [GBytes];Bandwidth [Mbits/sec]
0.0-1.0;12.6;106
1.0-2.0;11.9;99.6
2.0-3.0;12.4;104
3.0-4.0;11.5;96.5
4.0-5.0;12.5;105
5.0-6.0;11.1;93.3
6.0-7.0;12.6;106
7.0-8.0;12.2;103
8.0-9.0;10.1;84.9
9.0-10.0;12.8;107
