interval;transfer;BW
0.0-1.0;12.5;105
1.0-2.0;12.4;104
2.0-3.0;12.5;105
3.0-4.0;11.8;98.6
4.0-5.0;12.8;107
5.0-6.0;13.0;109
6.0-7.0;12.1;102
7.0-8.0;10.4;87.0
8.0-9.0;11.6;97.5
9.0-10.0;12.4;104
10.0-11.0;12.2;103
11.0-12.0;12.4;104
12.0-13.0;8.12;68.2
13.0-14.0;12.5;105
14.0-15.0;12.4;104
15.0-16.0;8.12;68.2
16.0-17.0;12.4;104
17.0-18.0;12.2;103
18.0-19.0;12.4;104
19.0-20.0;8.12;68.2
20.0-21.0;12.4;104
21.0-22.0;12.2;103
22.0-23.0;8.25;69.2
23.0-24.0;12.2;103
24.0-25.0;12.4;104
25.0-26.0;12.2;103
26.0-27.0;8.25;69.2
27.0-28.0;12.2;103
28.0-29.0;12.4;104
29.0-30.0;12.2;103
30.0-31.0;8.25;69.2
31.0-32.0;12.2;103
32.0-33.0;12.2;103
33.0-34.0;8.25;69.2
34.0-35.0;12.2;103
35.0-36.0;12.9;108
36.0-37.0;8.25;69.2
37.0-38.0;12.2;103
38.0-39.0;12.2;103
39.0-40.0;12.4;104
40.0-41.0;8.12;68.2
41.0-42.0;12.4;104
42.0-43.0;12.2;103
43.0-44.0;12.4;104
44.0-45.0;8.12;68.2
45.0-46.0;12.4;104
46.0-47.0;12.2;103
47.0-48.0;8.25;69.2
48.0-49.0;12.2;103
49.0-50.0;12.4;104
50.0-51.0;12.2;103
51.0-52.0;8.25;69.2
52.0-53.0;12.5;105
53.0-54.0;12.4;104
54.0-55.0;8.12;68.2
55.0-56.0;12.4;104
56.0-57.0;12.2;103
57.0-58.0;12.4;104
58.0-59.0;8.12;68.2
59.0-60.0;12.4;104
60.0-61.0;12.2;103
61.0-62.0;12.2;103
62.0-63.0;8.25;69.2
63.0-64.0;12.2;103
64.0-65.0;12.4;104
65.0-66.0;8.25;69.2
66.0-67.0;12.2;103
67.0-68.0;12.2;103
68.0-69.0;12.4;104
69.0-70.0;8.12;68.2
70.0-71.0;12.4;104
71.0-72.0;12.2;103
72.0-73.0;8.25;69.2
73.0-74.0;12.2;103
74.0-75.0;12.4;104
75.0-76.0;12.2;103
76.0-77.0;8.25;69.2
77.0-78.0;12.2;103
78.0-79.0;12.4;104
79.0-80.0;12.2;103
80.0-81.0;8.25;69.2
81.0-82.0;12.2;103
82.0-83.0;12.4;104
83.0-84.0;8.12;68.2
84.0-85.0;12.4;104
85.0-86.0;12.2;103
86.0-87.0;12.4;104
87.0-88.0;8.12;68.2
88.0-89.0;12.4;104
89.0-90.0;12.2;103
90.0-91.0;8.25;69.2
91.0-92.0;12.2;103
92.0-93.0;12.4;104
93.0-94.0;12.2;103
94.0-95.0;8.25;69.2
95.0-96.0;12.2;103
96.0-97.0;12.2;103
97.0-98.0;12.4;104
98.0-99.0;8.12;68.2
99.0-100.0;12.4;104
100.0-101.0;10.1;84.9
101.0-102.0;12.2;103
102.0-103.0;12.4;104
103.0-104.0;8.12;68.2
104.0-105.0;12.4;104
105.0-106.0;12.2;103
106.0-107.0;12.4;104
107.0-108.0;8.12;68.2
108.0-109.0;12.4;104
109.0-110.0;12.2;103
110.0-111.0;12.4;104
111.0-112.0;8.12;68.2
112.0-113.0;12.4;104
113.0-114.0;12.4;104
114.0-115.0;8.12;68.2
115.0-116.0;12.4;104
116.0-117.0;12.2;103
117.0-118.0;12.4;104
118.0-119.0;8.12;68.2
119.0-120.0;12.4;104
120.0-121.0;12.2;103
121.0-122.0;8.25;69.2
122.0-123.0;12.2;103
123.0-124.0;12.4;104
124.0-125.0;12.2;103
125.0-126.0;8.25;69.2
126.0-127.0;12.2;103
127.0-128.0;12.2;103
128.0-129.0;12.4;104
129.0-130.0;8.12;68.2
130.0-131.0;12.4;104
131.0-132.0;12.2;103
132.0-133.0;8.25;69.2
133.0-134.0;12.2;103
134.0-135.0;12.4;104
135.0-136.0;12.2;103
136.0-137.0;8.25;69.2
137.0-138.0;12.2;103
138.0-139.0;12.4;104
139.0-140.0;8.12;68.2
140.0-141.0;12.4;104
141.0-142.0;12.2;103
142.0-143.0;12.4;104
143.0-144.0;8.12;68.2
144.0-145.0;12.4;104
145.0-146.0;12.2;103
146.0-147.0;9.75;81.8
147.0-148.0;12.4;104
148.0-149.0;12.2;103
149.0-150.0;8.25;69.2
150.0-151.0;12.2;103
151.0-152.0;12.4;104
152.0-153.0;8.12;68.2
153.0-154.0;12.4;104
154.0-155.0;12.2;103
155.0-156.0;12.2;103
156.0-157.0;8.25;69.2
157.0-158.0;12.4;104
158.0-159.0;12.2;103
159.0-160.0;12.2;103
160.0-161.0;8.25;69.2
161.0-162.0;12.2;103
162.0-163.0;12.4;104
163.0-164.0;8.25;69.2
164.0-165.0;12.2;103
165.0-166.0;12.2;103
166.0-167.0;12.4;104
167.0-168.0;8.12;68.2
168.0-169.0;12.4;104
169.0-170.0;12.2;103
170.0-171.0;12.4;104
171.0-172.0;8.12;68.2
172.0-173.0;12.4;104
173.0-174.0;12.2;103
174.0-175.0;8.25;69.2
175.0-176.0;12.2;103
176.0-177.0;12.4;104
177.0-178.0;12.2;103
178.0-179.0;8.25;69.2
179.0-180.0;12.2;103
180.0-181.0;12.6;106
181.0-182.0;8.12;68.2
182.0-183.0;12.4;104
183.0-184.0;12.2;103
184.0-185.0;12.4;104
185.0-186.0;8.12;68.2
186.0-187.0;12.4;104
187.0-188.0;12.2;103
188.0-189.0;8.25;69.2
189.0-190.0;12.4;104
190.0-191.0;12.2;103
191.0-192.0;12.2;103
192.0-193.0;8.25;69.2
193.0-194.0;12.2;103
194.0-195.0;12.4;104
195.0-196.0;12.2;103
196.0-197.0;8.25;69.2
197.0-198.0;12.2;103
198.0-199.0;12.4;104
199.0-200.0;8.12;68.2
