interval;transfer;BW
0.0-1.0;13.0;109
1.0-2.0;12.5;105
2.0-3.0;14.1;118
3.0-4.0;11.5;96.5
4.0-5.0;11.1;93.3
5.0-6.0;11.4;95.4
6.0-7.0;11.1;93.3
7.0-8.0;11.2;94.4
8.0-9.0;11.0;92.3
9.0-10.0;10.9;91.2
10.0-11.0;11.0;92.3
11.0-12.0;10.9;91.2
12.0-13.0;11.0;92.3
13.0-14.0;10.9;91.2
14.0-15.0;11.0;92.3
15.0-16.0;11.0;92.3
16.0-17.0;11.2;94.4
17.0-18.0;11.1;93.3
18.0-19.0;11.1;93.3
19.0-20.0;8.25;69.2
20.0-21.0;11.6;97.5
21.0-22.0;11.1;93.3
22.0-23.0;11.1;93.3
23.0-24.0;11.1;93.3
24.0-25.0;11.1;93.3
25.0-26.0;11.1;93.3
26.0-27.0;11.2;94.4
27.0-28.0;11.1;93.3
28.0-29.0;11.2;94.4
29.0-30.0;11.1;93.3
30.0-31.0;11.1;93.3
31.0-32.0;11.1;93.3
32.0-33.0;10.9;91.2
33.0-34.0;11.1;93.3
34.0-35.0;11.2;94.4
35.0-36.0;11.1;93.3
36.0-37.0;11.4;95.4
37.0-38.0;11.0;92.3
38.0-39.0;8.38;70.3
39.0-40.0;11.1;93.3
40.0-41.0;13.6;114
41.0-42.0;8.38;70.3
42.0-43.0;11.2;94.4
43.0-44.0;11.1;93.3
44.0-45.0;11.2;94.4
45.0-46.0;11.1;93.3
46.0-47.0;11.2;94.4
47.0-48.0;11.5;96.5
48.0-49.0;11.0;92.3
49.0-50.0;11.2;94.4
50.0-51.0;11.0;92.3
51.0-52.0;11.0;92.3
52.0-53.0;11.1;93.3
53.0-54.0;11.1;93.3
54.0-55.0;11.2;94.4
55.0-56.0;11.0;92.3
56.0-57.0;11.0;92.3
57.0-58.0;11.0;92.3
58.0-59.0;11.1;93.3
59.0-60.0;11.2;94.4
60.0-61.0;8.38;70.3
61.0-62.0;11.1;93.3
62.0-63.0;11.2;94.4
63.0-64.0;11.1;93.3
64.0-65.0;11.2;94.4
65.0-66.0;11.1;93.3
66.0-67.0;11.0;92.3
67.0-68.0;11.1;93.3
68.0-69.0;11.1;93.3
69.0-70.0;11.1;93.3
70.0-71.0;11.1;93.3
71.0-72.0;11.0;92.3
72.0-73.0;11.0;92.3
73.0-74.0;11.1;93.3
74.0-75.0;11.2;94.4
75.0-76.0;11.1;93.3
76.0-77.0;11.1;93.3
77.0-78.0;11.2;94.4
78.0-79.0;11.1;93.3
79.0-80.0;11.0;92.3
80.0-81.0;11.1;93.3
81.0-82.0;11.1;93.3
82.0-83.0;10.9;91.2
83.0-84.0;11.1;93.3
84.0-85.0;8.50;71.3
85.0-86.0;11.1;93.3
86.0-87.0;11.0;92.3
87.0-88.0;11.0;92.3
88.0-89.0;11.0;92.3
89.0-90.0;10.9;91.2
90.0-91.0;11.0;92.3
91.0-92.0;11.0;92.3
92.0-93.0;11.0;92.3
93.0-94.0;11.1;93.3
94.0-95.0;11.1;93.3
95.0-96.0;11.2;94.4
96.0-97.0;11.1;93.3
97.0-98.0;11.1;93.3
98.0-99.0;11.0;92.3
99.0-100.0;11.2;94.4
100.0-101.0;11.0;92.3
101.0-102.0;11.1;93.3
102.0-103.0;11.1;93.3
103.0-104.0;10.9;91.2
104.0-105.0;11.1;93.3
105.0-106.0;11.1;93.3
106.0-107.0;11.2;94.4
107.0-108.0;11.1;93.3
108.0-109.0;11.2;94.4
109.0-110.0;11.1;93.3
110.0-111.0;11.1;93.3
111.0-112.0;11.1;93.3
112.0-113.0;11.1;93.3
113.0-114.0;10.9;91.2
114.0-115.0;11.0;92.3
115.0-116.0;8.50;71.3
116.0-117.0;11.2;94.4
117.0-118.0;11.1;93.3
118.0-119.0;11.0;92.3
119.0-120.0;10.9;91.2
120.0-121.0;11.0;92.3
121.0-122.0;11.1;93.3
122.0-123.0;10.9;91.2
123.0-124.0;11.0;92.3
124.0-125.0;10.9;91.2
125.0-126.0;11.2;94.4
126.0-127.0;11.1;93.3
127.0-128.0;11.2;94.4
128.0-129.0;11.0;92.3
129.0-130.0;11.1;93.3
130.0-131.0;11.9;99.6
131.0-132.0;11.0;92.3
132.0-133.0;11.2;94.4
133.0-134.0;11.0;92.3
134.0-135.0;11.0;92.3
135.0-136.0;9.50;79.7
136.0-137.0;11.1;93.3
137.0-138.0;11.1;93.3
138.0-139.0;11.0;92.3
139.0-140.0;10.9;91.2
140.0-141.0;11.1;93.3
141.0-142.0;11.1;93.3
142.0-143.0;11.2;94.4
143.0-144.0;11.1;93.3
144.0-145.0;11.1;93.3
145.0-146.0;11.2;94.4
146.0-147.0;11.1;93.3
147.0-148.0;11.2;94.4
148.0-149.0;10.9;91.2
149.0-150.0;9.50;79.7
150.0-151.0;11.0;92.3
151.0-152.0;11.1;93.3
152.0-153.0;11.1;93.3
153.0-154.0;11.0;92.3
154.0-155.0;11.0;92.3
155.0-156.0;11.1;93.3
156.0-157.0;11.2;94.4
157.0-158.0;11.1;93.3
158.0-159.0;11.2;94.4
159.0-160.0;11.1;93.3
160.0-161.0;11.5;96.5
161.0-162.0;11.1;93.3
162.0-163.0;11.0;92.3
163.0-164.0;11.2;94.4
164.0-165.0;11.0;92.3
165.0-166.0;10.9;91.2
166.0-167.0;11.2;94.4
167.0-168.0;8.38;70.3
168.0-169.0;11.1;93.3
169.0-170.0;11.0;92.3
170.0-171.0;11.0;92.3
171.0-172.0;10.9;91.2
172.0-173.0;11.0;92.3
173.0-174.0;12.9;108
174.0-175.0;11.8;98.6
175.0-176.0;8.25;69.2
176.0-177.0;11.2;94.4
177.0-178.0;11.1;93.3
178.0-179.0;11.2;94.4
179.0-180.0;11.1;93.3
180.0-181.0;11.1;93.3
181.0-182.0;11.1;93.3
182.0-183.0;11.0;92.3
183.0-184.0;11.2;94.4
184.0-185.0;11.0;92.3
185.0-186.0;11.0;92.3
186.0-187.0;11.1;93.3
187.0-188.0;11.2;94.4
188.0-189.0;11.0;92.3
189.0-190.0;11.0;92.3
190.0-191.0;10.9;91.2
191.0-192.0;11.0;92.3
192.0-193.0;10.9;91.2
193.0-194.0;11.0;92.3
194.0-195.0;10.9;91.2
195.0-196.0;11.0;92.3
196.0-197.0;11.2;94.4
197.0-198.0;11.1;93.3
198.0-199.0;11.1;93.3
199.0-200.0;11.1;93.3
