interval;transfer;BW
0.0-1.0;13.0;109
1.0-2.0;12.0;101
2.0-3.0;12.5;105
3.0-4.0;12.6;106
4.0-5.0;13.6;114
5.0-6.0;9.62;80.7
6.0-7.0;13.1;110
7.0-8.0;10.0;83.9
8.0-9.0;13.1;110
9.0-10.0;9.88;82.8
10.0-11.0;9.88;82.8
11.0-12.0;13.1;110
12.0-13.0;9.88;82.8
13.0-14.0;9.88;82.8
14.0-15.0;13.2;111
15.0-16.0;9.88;82.8
16.0-17.0;9.88;82.8
17.0-18.0;13.1;110
18.0-19.0;9.88;82.8
19.0-20.0;13.2;111
20.0-21.0;9.88;82.8
21.0-22.0;9.88;82.8
22.0-23.0;13.1;110
23.0-24.0;9.88;82.8
24.0-25.0;9.88;82.8
25.0-26.0;13.2;111
26.0-27.0;9.88;82.8
27.0-28.0;10.0;83.9
28.0-29.0;13.1;110
29.0-30.0;9.88;82.8
30.0-31.0;13.2;111
31.0-32.0;9.88;82.8
32.0-33.0;9.88;82.8
33.0-34.0;13.1;110
34.0-35.0;9.88;82.8
35.0-36.0;9.88;82.8
36.0-37.0;13.2;111
37.0-38.0;9.88;82.8
38.0-39.0;13.1;110
39.0-40.0;9.88;82.8
40.0-41.0;9.88;82.8
41.0-42.0;13.2;111
42.0-43.0;9.88;82.8
43.0-44.0;9.88;82.8
44.0-45.0;13.1;110
45.0-46.0;10.0;83.9
46.0-47.0;9.88;82.8
47.0-48.0;13.1;110
48.0-49.0;9.88;82.8
49.0-50.0;13.1;110
50.0-51.0;9.88;82.8
51.0-52.0;9.88;82.8
52.0-53.0;13.2;111
53.0-54.0;9.88;82.8
54.0-55.0;10.0;83.9
55.0-56.0;13.2;111
56.0-57.0;9.88;82.8
57.0-58.0;9.88;82.8
58.0-59.0;13.2;111
59.0-60.0;9.88;82.8
60.0-61.0;13.1;110
61.0-62.0;9.88;82.8
62.0-63.0;9.88;82.8
63.0-64.0;13.2;111
64.0-65.0;9.88;82.8
65.0-66.0;10.0;83.9
66.0-67.0;13.1;110
67.0-68.0;9.88;82.8
68.0-69.0;9.88;82.8
69.0-70.0;13.2;111
70.0-71.0;11.0;92.3
71.0-72.0;9.88;82.8
72.0-73.0;13.1;110
73.0-74.0;9.88;82.8
74.0-75.0;9.88;82.8
