interval;transfer;BW
75.0-76.0;13.2;111
76.0-77.0;9.88;82.8
77.0-78.0;9.88;82.8
78.0-79.0;13.1;110
79.0-80.0;9.88;82.8
80.0-81.0;13.2;111
81.0-82.0;9.88;82.8
82.0-83.0;9.88;82.8
83.0-84.0;13.1;110
84.0-85.0;9.88;82.8
85.0-86.0;10.0;83.9
86.0-87.0;11.1;93.3
87.0-88.0;13.1;110
88.0-89.0;9.88;82.8
89.0-90.0;13.1;110
90.0-91.0;9.88;82.8
91.0-92.0;9.88;82.8
92.0-93.0;13.2;111
93.0-94.0;9.88;82.8
94.0-95.0;9.88;82.8
95.0-96.0;13.4;112
96.0-97.0;9.88;82.8
97.0-98.0;9.88;82.8
98.0-99.0;13.1;110
99.0-100.0;9.88;82.8
100.0-101.0;13.2;111
101.0-102.0;9.88;82.8
102.0-103.0;10.6;89.1
103.0-104.0;9.88;82.8
104.0-105.0;13.2;111
105.0-106.0;9.88;82.8
106.0-107.0;9.88;82.8
107.0-108.0;13.1;110
108.0-109.0;9.88;82.8
109.0-110.0;13.2;111
110.0-111.0;9.88;82.8
111.0-112.0;9.88;82.8
112.0-113.0;13.1;110
113.0-114.0;9.88;82.8
114.0-115.0;9.88;82.8
115.0-116.0;13.2;111
116.0-117.0;9.88;82.8
117.0-118.0;9.88;82.8
118.0-119.0;13.4;112
119.0-120.0;9.88;82.8
120.0-121.0;13.1;110
121.0-122.0;9.88;82.8
122.0-123.0;9.88;82.8
123.0-124.0;10.9;91.2
124.0-125.0;13.1;110
125.0-126.0;9.88;82.8
126.0-127.0;13.1;110
127.0-128.0;9.88;82.8
128.0-129.0;10.0;83.9
129.0-130.0;13.1;110
130.0-131.0;9.88;82.8
131.0-132.0;9.88;82.8
132.0-133.0;13.1;110
133.0-134.0;9.88;82.8
134.0-135.0;10.0;83.9
135.0-136.0;13.1;110
136.0-137.0;9.88;82.8
137.0-138.0;13.1;110
138.0-139.0;10.0;83.9
139.0-140.0;9.88;82.8
140.0-141.0;13.1;110
141.0-142.0;9.88;82.8
142.0-143.0;9.88;82.8
143.0-144.0;13.2;111
144.0-145.0;9.88;82.8
145.0-146.0;13.1;110
146.0-147.0;9.88;82.8
147.0-148.0;9.88;82.8
148.0-149.0;9.88;82.8
149.0-150.0;14.0;117
150.0-151.0;9.88;82.8
151.0-152.0;13.1;110
152.0-153.0;9.88;82.8
153.0-154.0;9.88;82.8
154.0-155.0;13.2;111
155.0-156.0;9.88;82.8
156.0-157.0;9.88;82.8
157.0-158.0;13.1;110
158.0-159.0;9.88;82.8
159.0-160.0;9.88;82.8
160.0-161.0;13.2;111
161.0-162.0;9.88;82.8
162.0-163.0;11.4;95.4
163.0-164.0;9.88;82.8
164.0-165.0;13.1;110
165.0-166.0;9.88;82.8
166.0-167.0;13.1;110
167.0-168.0;10.0;83.9
168.0-169.0;9.88;82.8
169.0-170.0;13.1;110
170.0-171.0;9.88;82.8
171.0-172.0;9.88;82.8
172.0-173.0;13.1;110
173.0-174.0;9.88;82.8
174.0-175.0;13.2;111
175.0-176.0;9.88;82.8
176.0-177.0;9.88;82.8
177.0-178.0;13.1;110
178.0-179.0;9.88;82.8
179.0-180.0;9.88;82.8
180.0-181.0;13.2;111
181.0-182.0;9.88;82.8
182.0-183.0;13.1;110
183.0-184.0;9.88;82.8
184.0-185.0;9.88;82.8
185.0-186.0;13.2;111
186.0-187.0;9.88;82.8
187.0-188.0;9.88;82.8
188.0-189.0;13.1;110
189.0-190.0;9.88;82.8
190.0-191.0;9.88;82.8
191.0-192.0;13.2;111
192.0-193.0;9.88;82.8
193.0-194.0;13.1;110
194.0-195.0;9.88;82.8
195.0-196.0;9.88;82.8
196.0-197.0;13.2;111
197.0-198.0;9.88;82.8
198.0-199.0;9.88;82.8
199.0-200.0;13.1;110
