1551930428;s2-eth3;0.00;0.00;0.00;0;0;0.00;0.00;0.00;0;0;0.00;0.00;0;0
1551930428;s1-eth1;0.00;0.00;0.00;0;0;0.00;0.00;0.00;0;0;0.00;0.00;0;0
1551930428;s3-eth2;0.00;0.00;0.00;0;0;0.00;0.00;0.00;0;0;0.00;0.00;0;0
1551930428;s1-eth2;0.00;0.00;0.00;0;0;0.00;0.00;0.00;0;0;0.00;0.00;0;0
1551930428;s2-eth1;0.00;0.00;0.00;0;0;0.00;0.00;0.00;0;0;0.00;0.00;0;0
1551930428;s3-eth3;0.00;0.00;0.00;0;0;0.00;0.00;0.00;0;0;0.00;0.00;0;0
1551930428;s2-eth2;0.00;0.00;0.00;0;0;0.00;0.00;0.00;0;0;0.00;0.00;0;0
1551930428;s3-eth1;0.00;0.00;0.00;0;0;0.00;0.00;0.00;0;0;0.00;0.00;0;0
1551930428;total;0.00;0.00;0.00;0;0;0.00;0.00;0.00;0;0;0.00;0.00;0;0
1551930429;s2-eth3;86.00;176.00;262.00;176;86;1.00;2.00;3.00;2;1;0.00;0.00;0;0
1551930429;s1-eth1;176.00;86.00;262.00;86;176;2.00;1.00;3.00;1;2;0.00;0.00;0;0
1551930429;s3-eth2;176.00;176.00;352.00;176;176;2.00;2.00;4.00;2;2;0.00;0.00;0;0
1551930429;s1-eth2;176.00;176.00;352.00;176;176;2.00;2.00;4.00;2;2;0.00;0.00;0;0
1551930429;s2-eth1;86.00;292.00;378.00;292;86;1.00;4.00;5.00;4;1;0.00;0.00;0;0
1551930429;s3-eth3;176.00;176.00;352.00;176;176;2.00;2.00;4.00;2;2;0.00;0.00;0;0
1551930429;s2-eth2;176.00;176.00;352.00;176;176;2.00;2.00;4.00;2;2;0.00;0.00;0;0
1551930429;s3-eth1;176.00;250.00;426.00;250;176;2.00;3.00;5.00;3;2;0.00;0.00;0;0
1551930429;total;1228.00;1508.00;2736.00;1508;1228;14.00;18.00;32.00;18;14;0.00;0.00;0;0
1551930430;s2-eth3;1292.00;989.00;2281.00;989;1292;9.00;7.00;16.00;7;9;0.00;0.00;0;0
1551930430;s1-eth1;989.00;1292.00;2281.00;1292;989;7.00;9.00;16.00;9;7;0.00;0.00;0;0
1551930430;s3-eth2;666.00;160.00;826.00;160;666;5.00;2.00;7.00;2;5;0.00;0.00;0;0
1551930430;s1-eth2;1079.00;1079.00;2158.00;1079;1079;8.00;8.00;16.00;8;8;0.00;0.00;0;0
1551930430;s2-eth1;1493.00;132.00;1625.00;132;1493;10.00;2.00;12.00;2;10;0.00;0.00;0;0
1551930430;s3-eth3;1079.00;1079.00;2158.00;1079;1079;8.00;8.00;16.00;8;8;0.00;0.00;0;0
1551930430;s2-eth2;1493.00;160.00;1653.00;160;1493;10.00;2.00;12.00;2;10;0.00;0.00;0;0
1551930430;s3-eth1;666.00;90.00;756.00;90;666;5.00;1.00;6.00;1;5;0.00;0.00;0;0
1551930430;total;8757.00;4981.00;13738.00;4981;8757;62.00;39.00;101.00;39;62;0.00;0.00;0;0
1551930431;s2-eth3;404.00;707.00;1111.00;707;404;2.00;4.00;6.00;4;2;0.00;0.00;0;0
1551930431;s1-eth1;707.00;404.00;1111.00;404;707;4.00;2.00;6.00;2;4;0.00;0.00;0;0
