Interval [sec];Transfer [GBytes];Bandwidth [Mbits/sec]
0.0-1.0;7.50;62.9
1.0-2.0;7.25;60.8
2.0-3.0;7.00;58.7
3.0-4.0;7.12;59.8
4.0-5.0;7.38;61.9
5.0-6.0;6.75;56.6
6.0-7.0;6.25;52.4
7.0-8.0;4.50;37.7
8.0-9.0;4.88;40.9
9.0-10.0;4.62;38.8
