Interval [sec];Transfer [GBytes];Bandwidth [Mbits/sec]
0.0-1.0;8.50;71.3
1.0-2.0;7.50;62.9
2.0-3.0;7.38;61.9
3.0-4.0;7.88;66.1
4.0-5.0;8.00;67.1
5.0-6.0;8.12;68.2
6.0-7.0;6.88;57.7
7.0-8.0;6.50;54.5
8.0-9.0;6.75;56.6
9.0-10.0;7.00;58.7
