Interval [sec];Transfer [GBytes];Bandwidth [Mbits/sec]
0.0-1.0;12.2;103
1.0-2.0;11.6;97.5
2.0-3.0;11.6;97.5
3.0-4.0;12.1;102
4.0-5.0;11.9;99.6
5.0-6.0;11.8;98.6
6.0-7.0;10.9;91.2
7.0-8.0;12.4;104
8.0-9.0;12.1;102
9.0-10.0;11.5;96.5
10.0-11.0;12.6;106
11.0-12.0;11.4;95.4
12.0-13.0;12.2;103
13.0-14.0;10.5;88.1
14.0-15.0;11.1;93.3
15.0-16.0;11.8;98.6
16.0-17.0;12.6;106
17.0-18.0;10.2;86.0
18.0-19.0;14.2;120
19.0-20.0;11.1;93.3
20.0-21.0;11.5;96.5
21.0-22.0;12.0;101
22.0-23.0;12.5;105
23.0-24.0;8.88;74.4
24.0-25.0;14.9;125
25.0-26.0;10.6;89.1
26.0-27.0;10.5;88.1
27.0-28.0;10.6;89.1
28.0-29.0;15.9;133
29.0-30.0;10.5;88.1
30.0-31.0;10.6;89.1
31.0-32.0;10.5;88.1
32.0-33.0;10.6;89.1
33.0-34.0;10.5;88.1
34.0-35.0;10.6;89.1
35.0-36.0;15.9;133
36.0-37.0;10.5;88.1
37.0-38.0;10.6;89.1
38.0-39.0;10.5;88.1
39.0-40.0;10.6;89.1
40.0-41.0;10.5;88.1
41.0-42.0;10.6;89.1
42.0-43.0;10.5;88.1
43.0-44.0;15.9;133
44.0-45.0;5.25;44.0
45.0-46.0;13.6;114
46.0-47.0;15.8;132
47.0-48.0;10.6;89.1
48.0-49.0;10.5;88.1
49.0-50.0;10.6;89.1
