Interval [sec];Transfer [GBytes];Bandwidth [Mbits/sec]
0.0-1.0;12.4;104
1.0-2.0;11.5;96.5
2.0-3.0;11.5;96.5
3.0-4.0;11.9;99.6
4.0-5.0;11.8;98.6
5.0-6.0;11.5;96.5
6.0-7.0;12.0;101
7.0-8.0;12.0;101
8.0-9.0;11.9;99.6
9.0-10.0;11.2;94.4
