Interval [sec];Transfer [GBytes];Bandwidth [Mbits/sec]
0.0-1.0;12.2;103
1.0-2.0;11.6;97.5
2.0-3.0;11.9;99.6
3.0-4.0;11.8;98.6
4.0-5.0;11.8;98.6
5.0-6.0;11.6;97.5
6.0-7.0;12.0;101
7.0-8.0;12.2;103
8.0-9.0;10.4;87.0
9.0-10.0;13.2;111
