Interval [sec];Transfer [GBytes];Bandwidth [Mbits/sec]
0.0-1.0;12.6;106
1.0-2.0;11.5;96.5
2.0-3.0;11.9;99.6
3.0-4.0;12.0;101
4.0-5.0;13.6;114
5.0-6.0;10.0;83.9
6.0-7.0;14.0;117
7.0-8.0;10.6;89.1
8.0-9.0;12.1;102
9.0-10.0;13.4;112
10.0-11.0;11.0;92.3
11.0-12.0;12.0;101
12.0-13.0;13.2;111
13.0-14.0;9.38;78.6
14.0-15.0;15.1;127
15.0-16.0;11.9;99.6
16.0-17.0;10.5;88.1
17.0-18.0;10.5;88.1
18.0-19.0;10.5;88.1
19.0-20.0;10.5;88.1
20.0-21.0;10.5;88.1
21.0-22.0;15.9;133
22.0-23.0;10.5;88.1
23.0-24.0;10.5;88.1
24.0-25.0;10.5;88.1
25.0-26.0;10.6;89.1
26.0-27.0;10.4;87.0
27.0-28.0;10.5;88.1
28.0-29.0;10.6;89.1
29.0-30.0;15.6;131
30.0-31.0;10.4;87.0
31.0-32.0;10.5;88.1
32.0-33.0;10.5;88.1
33.0-34.0;10.4;87.0
34.0-35.0;10.6;89.1
35.0-36.0;15.8;132
36.0-37.0;10.4;87.0
37.0-38.0;10.5;88.1
38.0-39.0;10.5;88.1
39.0-40.0;10.5;88.1
40.0-41.0;10.5;88.1
41.0-42.0;10.5;88.1
42.0-43.0;15.9;133
43.0-44.0;10.5;88.1
44.0-45.0;10.6;89.1
45.0-46.0;10.5;88.1
46.0-47.0;10.6;89.1
47.0-48.0;10.5;88.1
48.0-49.0;10.6;89.1
49.0-50.0;15.8;132
