Interval [sec];Transfer [GBytes];Bandwidth [Mbits/sec]
0.0-1.0;12.9;108
1.0-2.0;13.1;110
2.0-3.0;12.9;108
3.0-4.0;10.8;90.2
4.0-5.0;13.6;114
5.0-6.0;13.1;110
6.0-7.0;10.1;84.9
7.0-8.0;10.1;84.9
8.0-9.0;10.2;86.0
9.0-10.0;13.6;114
10.0-11.0;10.1;84.9
11.0-12.0;10.1;84.9
12.0-13.0;13.4;112
13.0-14.0;10.0;83.9
14.0-15.0;10.1;84.9
15.0-16.0;10.0;83.9
16.0-17.0;13.5;113
17.0-18.0;10.1;84.9
18.0-19.0;10.1;84.9
19.0-20.0;13.5;113
20.0-21.0;10.1;84.9
21.0-22.0;10.1;84.9
22.0-23.0;13.5;113
23.0-24.0;10.4;87.0
24.0-25.0;10.1;84.9
25.0-26.0;10.1;84.9
26.0-27.0;13.8;115
27.0-28.0;10.0;83.9
28.0-29.0;10.1;84.9
29.0-30.0;11.1;93.3
30.0-31.0;10.1;84.9
31.0-32.0;13.5;113
32.0-33.0;10.2;86.0
33.0-34.0;10.2;86.0
34.0-35.0;10.2;86.0
35.0-36.0;13.5;113
36.0-37.0;10.2;86.0
37.0-38.0;10.0;83.9
38.0-39.0;13.6;114
39.0-40.0;10.1;84.9
40.0-41.0;10.1;84.9
41.0-42.0;13.4;112
42.0-43.0;10.1;84.9
43.0-44.0;10.1;84.9
44.0-45.0;10.1;84.9
45.0-46.0;11.4;95.4
46.0-47.0;13.5;113
47.0-48.0;10.1;84.9
48.0-49.0;10.2;86.0
49.0-50.0;10.0;83.9
