;p_tx;p_rx;p_loss;time;rtt_min;rtt_avg;rtt_max;rtt_mdev
0;10.0;10.0;0.0;9194.0;0.04;0.521;4.618;1.366
1;10.0;10.0;0.0;9172.0;0.053;0.727;6.525;1.933
