;p_tx;p_rx;p_loss;time;rtt_min;rtt_avg;rtt_max;rtt_mdev
0;10.0;10.0;0.0;9180.0;0.03;0.818;7.727;2.303
1;10.0;10.0;0.0;9190.0;0.038;1.139;10.8;3.22
