;p_tx;p_rx;p_loss;time;rtt_min;rtt_avg;rtt_max;rtt_mdev
0;10.0;10.0;0.0;9189.0;0.033;1.187;11.352;3.388
1;10.0;10.0;0.0;9201.0;0.023;0.785;7.264;2.16
