;p_tx;p_rx;p_loss;time;rtt_min;rtt_avg;rtt_max;rtt_mdev
0;10.0;10.0;0.0;9182.0;0.025;0.562;5.1;1.513
1;10.0;10.0;0.0;9197.0;0.033;0.537;4.91;1.457
