;p_tx;p_rx;p_loss;time;rtt_min;rtt_avg;rtt_max;rtt_mdev
0;10.0;10.0;0.0;9203.0;0.027;0.694;6.493;1.933
1;10.0;10.0;0.0;9198.0;0.046;0.478;4.223;1.248
